Name,Affiliation,Abilities,Transformation/Alternate Mode,Image URL,Description,Quote
Optimus Prime,Autobot,"Leadership, Strength, Strategy",Truck,https://tfwiki.net/mediawiki/images2/thumb/1/10/RIDPrime02.jpg/385px-RIDPrime02.jpg,"Optimus Prime is the noble leader of the Autobots. He stands as a paragon of justice, leading the Autobots against the Decepticons with wisdom and valor. His bravery and compassion inspire others, and he is deeply dedicated to the protection of life and freedom for all sentient beings.","Freedom is the right of all sentient beings."
Bumblebee,Autobot,"Speed, Espionage, Combat skills",Yellow Camaro,https://tfwiki.net/mediawiki/images2/b/b4/Transformers-One-B-127.jpg,"Bumblebee is a skilled scout, known for his agility and stealth. Though smaller than most of his comrades, his courage and loyalty are unmatched. Bumblebee often acts as the bridge between the Autobots and humans, forging lasting relationships with Earth's defenders.","The least likely can be the most dangerous."
Cliffjumper,Autobot,"Agility, Combat skills",Sports Car,https://tfwiki.net/mediawiki/images2/2/2a/PrimeCliffjumper.jpg,"Cliffjumper is a fiery and impulsive Autobot, always ready to leap into battle. His size may not be imposing, but his spirit and tenacity make him a dangerous adversary to any Decepticon. His enthusiasm sometimes borders on reckless, but it's driven by his desire to protect others.","Let's burn rubber!"
Wheeljack,Autobot,"Engineering, Technology",Sports Car,https://tfwiki.net/mediawiki/images2/e/e7/Wheeljack-Cyberverse-Boulder-model.jpg,"Wheeljack is the Autobots' resident engineer and inventor. His passion for creating new technology often results in explosive (and sometimes disastrous) experiments. Nevertheless, his innovations have helped turn the tide in many battles.","Never a dull moment with science!"
Prowl,Autobot,"Strategy, Law Enforcement",Police Car,https://tfwiki.net/mediawiki/images2/1/13/Prowlg1.jpg,"Prowl is a strict tactician who operates by logic and rules. As the strategist of the Autobots, he formulates battle plans with precision and forethought. His adherence to law and order sometimes clashes with his comrades' more freewheeling nature.",Logic is the ultimate weapon.
Jazz,Autobot,"Combat skills, Espionage, Stealth",Sports Car,https://tfwiki.net/mediawiki/images2/2/29/Jazz_%28One%29.jpg,"Jazz is a suave and laid-back Autobot with a love for music and culture. He excels in stealth and espionage, often taking on critical reconnaissance missions. His cool demeanor and quick thinking make him a trusted lieutenant to Optimus Prime.",Do it with style or don't bother doing it at all!
Sideswipe,Autobot,"Speed, Agility, Combat skills",Sports Car,https://tfwiki.net/wiki/File:TFLegends-Sideswipe.jpg,"Sideswipe is a thrill-seeking warrior who lives for the excitement of battle. His speed and agility make him a fierce fighter, and his daring attitude often leads him into the heart of the action. His fearless nature and sharp wit make him a valuable asset.",I make my own rules.
Ratchet,Autobot,"Medical Expertise, Engineering",Ambulance,https://tfwiki.net/mediawiki/images2/5/5e/Movie_Ratchet_promorender.jpg,"Ratchet is the chief medical officer of the Autobots. His primary role is to repair and maintain his fellow Autobots after combat. While he prefers to avoid fighting, his technical expertise makes him indispensable in both the workshop and the battlefield.","You break it, I fix it!"
Ironhide,Autobot,"Strength, Combat skills",Pickup Truck,"","Ironhide is one of the oldest and toughest Autobots. He's seen countless battles and thrives on action, preferring to solve problems with brute force. Ironhide's gruff personality hides a deep loyalty to his friends, especially Optimus Prime.","High tech? No thanks, just give me a good old-fashioned gun."
Hot Rod,Autobot,"Speed, Leadership, Combat skills",Sports Car,"","Hot Rod is brash, impulsive, and full of youthful enthusiasm. Though he can be reckless, his heart is always in the right place. Hot Rod eventually matures into the leader known as Rodimus Prime, proving that he has what it takes to lead the Autobots into the future.","The future is built on dreams."
